customer_id,recency,frequency,monetary,r_score,f_score,m_score,total_score,rfm_segment
CUST10122,112,20,7763.729999999999,7,5,3,15,"Potential loyalists"
CUST10037,115,20,6962.469999999999,6,5,4,15,"Potential loyalists"
CUST10199,137,16,6764.4400000000005,2,8,5,15,"Potential loyalists"
CUST10141,172,15,6759.450000000001,1,9,5,15,"Potential loyalists"
CUST10040,132,17,6691.849999999999,3,7,5,15,"Potential loyalists"
CUST10176,114,22,6660.260000000001,7,3,5,15,"Potential loyalists"
CUST10014,177,15,6494.56,1,9,5,15,"Potential loyalists"
CUST10246,133,17,6442.86,3,7,5,15,"Potential loyalists"
CUST10216,160,16,6376.220000000001,1,8,6,15,"Potential loyalists"
CUST10154,141,17,6349.9,2,7,6,15,"Potential loyalists"
CUST10214,128,19,5918.67,3,5,7,15,"Potential loyalists"
CUST10025,170,17,5709.469999999999,1,7,7,15,"Potential loyalists"
CUST10170,119,21,5628.300000000001,5,3,7,15,"Potential loyalists"
CUST10187,111,20,7708.65,8,5,3,16,"Potential loyalists"
CUST10139,112,20,7019.84,7,5,4,16,"Potential loyalists"
CUST10195,118,17,6919.41,5,7,4,16,"Potential loyalists"
CUST10148,113,21,6807.779999999999,7,4,5,16,"Potential loyalists"
CUST10079,114,21,6567.02,7,4,5,16,"Potential loyalists"
CUST10100,115,21,6115.37,6,4,6,16,"Potential loyalists"
CUST10142,110,26,5674.079999999999,8,1,7,16,"Potential loyalists"
CUST10191,183,16,5567.869999999999,1,8,7,16,"Potential loyalists"
CUST10133,147,18,5232.81,2,6,8,16,"Potential loyalists"
CUST10135,106,22,7362.280000000002,10,3,4,17,"Potential loyalists"
CUST10228,121,16,6865.229999999999,4,8,5,17,"Potential loyalists"
CUST10165,114,19,6537.97,7,5,5,17,"Potential loyalists"
CUST10020,141,15,6415.84,2,9,6,17,"Potential loyalists"
CUST10181,126,18,5933.919999999999,4,6,7,17,"Potential loyalists"
CUST10223,159,16,5473.999999999999,1,8,8,17,"Potential loyalists"
CUST10076,129,18,5078.370000000001,3,6,8,17,"Potential loyalists"
CUST10145,177,17,5014.340000000001,1,7,9,17,"Potential loyalists"
CUST10161,126,20,4895.469999999999,4,4,9,17,"Potential loyalists"
CUST10047,121,21,4849.85,5,3,9,17,"Potential loyalists"
CUST10158,123,20,4589.110000000001,4,4,9,17,"Potential loyalists"
CUST10069,106,18,10127.61,10,7,1,18,"Potential loyalists"
CUST10177,107,19,8103.16,9,6,3,18,"Potential loyalists"
CUST10188,114,16,7604.33,7,8,3,18,"Potential loyalists"
CUST10143,106,21,7415.46,10,4,4,18,"Potential loyalists"
CUST10102,108,20,7068.37,9,5,4,18,"Potential loyalists"
CUST10030,107,21,7068.090000000001,10,4,4,18,"Potential loyalists"
CUST10150,110,19,7006.910000000001,8,6,4,18,"Potential loyalists"
CUST10090,119,15,6925.150000000001,5,9,4,18,"Potential loyalists"
CUST10179,111,20,6857.290000000001,8,5,5,18,"Potential loyalists"
CUST10151,112,20,6724.17,8,5,5,18,"Potential loyalists"
CUST10155,106,24,6339.36,10,2,6,18,"Potential loyalists"
CUST10213,129,15,6224.509999999999,3,9,6,18,"Potential loyalists"
CUST10229,129,15,6165.12,3,9,6,18,"Potential loyalists"
CUST10203,115,19,5737.6900000000005,6,5,7,18,"Potential loyalists"
CUST10099,119,18,5696.61,5,6,7,18,"Potential loyalists"
CUST10086,114,22,5526.4400000000005,7,3,8,18,"Potential loyalists"
CUST10224,234,15,5436.59,1,9,8,18,"Potential loyalists"
CUST10093,156,15,5307.879999999999,1,9,8,18,"Potential loyalists"
CUST10119,121,20,4920.53,5,4,9,18,"Potential loyalists"
CUST10247,142,17,4649.989999999999,2,7,9,18,"Potential loyalists"
CUST10092,108,17,9234.38,9,8,2,19,"Potential loyalists"
CUST10075,106,18,9078.09,10,7,2,19,"Potential loyalists"
CUST10113,109,18,7591.59,9,7,3,19,"Potential loyalists"
CUST10018,114,18,6365.48,7,6,6,19,"Potential loyalists"
CUST10003,132,14,6094.719999999998,3,10,6,19,"Potential loyalists"
CUST10066,134,14,6043.41,3,10,6,19,"Potential loyalists"
CUST10058,116,18,5957.7300000000005,6,6,7,19,"Potential loyalists"
CUST10236,113,20,5845.37,7,5,7,19,"Potential loyalists"
CUST10004,117,18,5779.990000000001,6,6,7,19,"Potential loyalists"
CUST10192,148,13,5581.65,2,10,7,19,"Potential loyalists"
CUST10220,115,19,5541.72,6,5,8,19,"Potential loyalists"
CUST10234,162,14,4842.970000000001,1,9,9,19,"Potential loyalists"
CUST10016,131,17,4793.560000000001,3,7,9,19,"Potential loyalists"
CUST10105,106,19,7380.369999999998,10,6,4,20,"loyal VIPs"
CUST10095,106,19,7145.350000000001,10,6,4,20,"loyal VIPs"
CUST10057,123,13,6331.039999999999,4,10,6,20,"loyal VIPs"
CUST10041,107,20,6321.59,9,5,6,20,"loyal VIPs"
CUST10071,108,20,6247.379999999999,9,5,6,20,"loyal VIPs"
CUST10005,111,18,6147.58,8,6,6,20,"loyal VIPs"
CUST10242,113,18,5929.5,7,6,7,20,"loyal VIPs"
CUST10173,106,22,5864.13,10,3,7,20,"loyal VIPs"
CUST10023,113,19,5658.36,7,6,7,20,"loyal VIPs"
CUST10111,110,21,5484.5,8,4,8,20,"loyal VIPs"
CUST10162,126,16,5213.03,4,8,8,20,"loyal VIPs"
CUST10206,124,17,4961.63,4,7,9,20,"loyal VIPs"
CUST10189,138,15,4573.030000000001,2,9,9,20,"loyal VIPs"
CUST10136,153,15,4339.110000000001,1,9,10,20,"loyal VIPs"
CUST10011,120,19,4001.6099999999997,5,5,10,20,"loyal VIPs"
CUST10110,143,16,3478.24,2,8,10,20,"loyal VIPs"
CUST10209,124,18,3316.9400000000005,4,6,10,20,"loyal VIPs"
CUST10044,108,17,6959.169999999999,9,8,4,21,"loyal VIPs"
CUST10186,106,19,6555.420000000001,10,6,5,21,"loyal VIPs"
CUST10238,115,15,6219.47,6,9,6,21,"loyal VIPs"
CUST10048,115,15,6146.16,6,9,6,21,"loyal VIPs"
CUST10182,110,18,5975.960000000001,8,7,6,21,"loyal VIPs"
CUST10152,112,18,5969.48,8,6,7,21,"loyal VIPs"
CUST10019,110,19,5570.889999999999,8,6,7,21,"loyal VIPs"
CUST10196,115,17,5558.36,6,8,7,21,"loyal VIPs"
CUST10210,114,18,5293.74,7,6,8,21,"loyal VIPs"
CUST10077,128,13,5235.9,3,10,8,21,"loyal VIPs"
CUST10146,112,21,5072.459999999999,8,4,9,21,"loyal VIPs"
CUST10184,123,16,4851.03,4,8,9,21,"loyal VIPs"
CUST10249,122,16,4771.060000000001,4,8,9,21,"loyal VIPs"
CUST10039,125,16,4508.749999999999,4,8,9,21,"loyal VIPs"
CUST10200,127,16,4332.990000000001,3,8,10,21,"loyal VIPs"
CUST10103,151,13,4315.889999999999,1,10,10,21,"loyal VIPs"
CUST10171,169,12,3719.96,1,10,10,21,"loyal VIPs"
CUST10250,122,17,3152.9700000000003,4,7,10,21,"loyal VIPs"
CUST10070,106,17,7411.58,10,8,4,22,"loyal VIPs"
CUST10130,107,17,6850.599999999999,9,8,5,22,"loyal VIPs"
CUST10033,106,19,6246.369999999999,10,6,6,22,"loyal VIPs"
CUST10074,117,16,5492.170000000001,6,8,8,22,"loyal VIPs"
CUST10108,107,20,5181.1900000000005,9,5,8,22,"loyal VIPs"
CUST10027,116,17,4996.29,6,7,9,22,"loyal VIPs"
CUST10097,116,17,4656.95,6,7,9,22,"loyal VIPs"
CUST10032,129,15,4457.360000000001,3,9,10,22,"loyal VIPs"
CUST10072,120,17,4134.12,5,7,10,22,"loyal VIPs"
CUST10051,139,10,3854.15,2,10,10,22,"loyal VIPs"
CUST10068,136,13,2861.4599999999996,2,10,10,22,"loyal VIPs"
CUST10120,144,7,1911.09,2,10,10,22,"loyal VIPs"
CUST10060,106,18,6048.45,10,7,6,23,"loyal VIPs"
CUST10059,110,18,5217.599999999999,8,7,8,23,"loyal VIPs"
CUST10085,127,14,4259.929999999999,3,10,10,23,"loyal VIPs"
CUST10080,107,16,6200.01,9,9,6,24,"loyal VIPs"
CUST10117,110,17,5434.5599999999995,8,8,8,24,"loyal VIPs"
CUST10101,110,17,5320.380000000001,8,8,8,24,"loyal VIPs"
CUST10104,116,14,5214.17,6,10,8,24,"loyal VIPs"
CUST10204,114,17,4645.59,7,8,9,24,"loyal VIPs"
CUST10008,110,18,4612.599999999999,8,7,9,24,"loyal VIPs"
CUST10174,118,15,4389.17,5,9,10,24,"loyal VIPs"
CUST10239,123,12,2987.84,4,10,10,24,"loyal VIPs"
CUST10053,107,18,5457.569999999999,10,7,8,25,champions
CUST10017,110,16,5295.610000000001,8,9,8,25,champions
CUST10235,107,17,5284.77,9,8,8,25,champions
CUST10159,106,18,5224.66,10,7,8,25,champions
CUST10226,111,16,5088.610000000001,8,9,8,25,champions
CUST10107,117,11,4919.29,6,10,9,25,champions
CUST10045,113,15,4686.11,7,9,9,25,champions
CUST10132,119,14,4221.09,5,10,10,25,champions
CUST10015,119,11,2656.07,5,10,10,25,champions
CUST10144,106,12,6034.659999999999,10,10,6,26,champions
CUST10198,107,14,5552.76,9,10,7,26,champions
CUST10183,106,17,5541.97,10,8,8,26,champions
CUST10160,110,10,5308.84,8,10,8,26,champions
CUST10225,111,16,4843.790000000001,8,9,9,26,champions
CUST10168,109,15,4610.719999999999,8,9,9,26,champions
CUST10232,114,15,3878.61,7,9,10,26,champions
CUST10212,115,9,3151.1499999999996,6,10,10,26,champions
CUST10172,107,16,5150.87,10,9,8,27,champions
CUST10094,108,16,4644.370000000001,9,9,9,27,champions
CUST10009,109,16,4474.679999999999,9,9,9,27,champions
CUST10035,112,13,4288.4,7,10,10,27,champions
CUST10065,113,13,4234.38,7,10,10,27,champions
CUST10088,112,14,3985.82,7,10,10,27,champions
CUST10114,109,17,2150.55,9,8,10,27,champions
CUST10241,107,11,4467.17,9,10,9,28,champions
CUST10127,108,14,4139.38,9,10,10,29,champions
